   5.0000 -150.9877 -150.3536 -148.7446 -150.8312 -151.3031 -152.2196 -244.5596 -242.0851 -241.0033 -151.2342
   5.0000 -152.1435 -151.3527 -149.2274 -151.2594 -151.3843 -151.5270 -237.5353 -235.0519 -233.9427 -151.2342
   5.0000 -152.2236 -151.6956 -150.5514 -151.1599 -151.2248 -151.2942 -188.2195 -185.7360 -184.6264 -151.2342
   5.0000 -151.4490 -151.2773 -151.0698 -151.1881 -151.2192 -151.2513 -180.9633 -178.4799 -177.3705 -151.2342
   5.0000 -151.3074 -151.1965 -151.0718 -151.2260 -151.2416 -151.2575 -181.6565 -179.1730 -178.0637 -151.2342
   5.0000 -151.3248 -151.2472 -151.1631 -151.2231 -151.2316 -151.2402 -182.3496 -179.8661 -178.7568 -151.2342
   5.0000 -151.3229 -151.2614 -151.1960 -151.2092 -151.2168 -151.2244 -182.7551 -180.2716 -179.1623 -151.2342
   5.0000 -151.2982 -151.2432 -151.1851 -151.2273 -151.2333 -151.2394 -183.0428 -180.5593 -179.4500 -151.2342
   5.0000 -151.2785 -151.2276 -151.1741 -151.2303 -151.2356 -151.2409 -183.2659 -180.7824 -179.6731 -151.2342
   5.0000 -151.2806 -151.2338 -151.1847 -151.2324 -151.2368 -151.2413 -183.4482 -180.9648 -179.8555 -151.2342
   5.0000 -151.2790 -151.2366 -151.1923 -151.2324 -151.2368 -151.2411 -183.6024 -181.1189 -180.0096 -151.2342
   5.0000 -151.2506 -151.2113 -151.1703 -151.2321 -151.2361 -151.2401 -183.7359 -181.2524 -180.1431 -151.2342
   5.0000 -151.2465 -151.2100 -151.1721 -151.2356 -151.2394 -151.2431 -183.8537 -181.3702 -180.2609 -151.2342
   5.0000 -151.2567 -151.2217 -151.1856 -151.2298 -151.2334 -151.2370 -183.9191 -181.4429 -180.3563 -151.2342
   6.0000 -152.6761 -152.1408 -150.9651 -150.7462 -151.1533 -151.8510 -228.0400 -225.5565 -224.4470 -152.3724
   6.0000 -153.0339 -152.5851 -151.7525 -152.3804 -152.5191 -152.6801 -224.8120 -222.3328 -221.2375 -152.3724
   6.0000 -152.5504 -152.2672 -151.8707 -152.2966 -152.3665 -152.4418 -225.5051 -223.0259 -221.9306 -152.3724
   6.0000 -152.5234 -152.3657 -152.1785 -152.3318 -152.3614 -152.3919 -226.4153 -223.9372 -222.8454 -152.3724
   6.0000 -152.4620 -152.3506 -152.2253 -152.3546 -152.3702 -152.3861 -209.6472 -207.1637 -206.0544 -152.3724
   6.0000 -152.4315 -152.3492 -152.2596 -152.3637 -152.3736 -152.3836 -200.1045 -197.6231 -196.5206 -152.3724
   6.0000 -152.3960 -152.3278 -152.2547 -152.3615 -152.3690 -152.3767 -182.6292 -180.1457 -179.0362 -152.3724
