-8529.429 -8531.913 -8528.320
-8281.395 -8283.755 -8280.468
-8288.278 -8290.761 -8287.168
-8277.822 -8280.146 -8276.923
-8278.040 -8280.524 -8276.931
-8279.619 -8281.714 -8278.840
-8278.137 -8280.607 -8277.067
-8278.334 -8280.609 -8277.468
-8280.673 -8283.142 -8279.606
-8280.223 -8282.663 -8279.207
-8278.564 -8280.885 -8277.668
-8280.005 -8282.488 -8278.896
-8278.563 -8280.406 -8277.869
-8277.939 -8280.027 -8277.164
-8279.329 -8281.808 -8278.235
-8279.551 -8281.997 -8278.528
-8278.669 -8280.015 -8278.095
-8280.301 -8282.642 -8279.390
-8278.795 -8280.787 -8278.055
-8278.861 -8280.544 -8278.209
