       NA        NA        NA
-8136.569 -8136.639 -8136.493
-8136.619 -8136.670 -8136.566
-8136.553 -8136.595 -8136.509
-8136.546 -8136.582 -8136.509
-8136.567 -8136.601 -8136.532
-8136.527 -8136.558 -8136.495
-8136.547 -8136.576 -8136.517
-8136.562 -8136.589 -8136.534
-8136.565 -8136.590 -8136.539
-8136.564 -8136.588 -8136.540
-8136.561 -8136.584 -8136.537
-8136.531 -8136.554 -8136.507
-8136.573 -8136.594 -8136.551
-8136.570 -8136.590 -8136.550
-8136.552 -8136.572 -8136.532
-8136.566 -8136.585 -8136.547
-8136.563 -8136.581 -8136.545
-8136.564 -8136.582 -8136.546
-8136.563 -8136.581 -8136.545
