       NA        NA        NA
-8141.448 -8144.220 -8140.787
-8136.917 -8137.372 -8136.606
-8136.558 -8136.779 -8136.378
-8136.419 -8136.557 -8136.297
-8136.631 -8136.726 -8136.544
-8136.543 -8136.622 -8136.470
-8136.508 -8136.569 -8136.450
-8136.609 -8136.661 -8136.560
-8136.526 -8136.577 -8136.478
-8136.554 -8136.593 -8136.516
-8136.543 -8136.584 -8136.505
-8136.526 -8136.563 -8136.490
-8136.579 -8136.613 -8136.546
-8136.553 -8136.583 -8136.524
-8136.558 -8136.585 -8136.532
-8136.566 -8136.593 -8136.541
-8136.574 -8136.598 -8136.551
-8136.579 -8136.600 -8136.557
-8136.561 -8136.584 -8136.538
