-9727.160      -Inf -9726.075
-8451.696      -Inf -8450.611
-8467.498      -Inf -8466.413
-8406.490      -Inf -8405.405
-8459.696      -Inf -8458.611
-8392.309      -Inf -8391.224
-8370.886      -Inf -8369.800
-8345.811      -Inf -8344.725
-8321.578      -Inf -8320.493
-8390.776      -Inf -8389.691
-8404.449      -Inf -8403.364
-8367.481      -Inf -8366.397
-8335.127      -Inf -8334.042
-8402.192      -Inf -8401.107
-8383.146      -Inf -8382.061
-8382.708      -Inf -8381.716
-8338.905      -Inf -8337.819
-8346.575      -Inf -8345.490
-8409.856      -Inf -8408.785
-8320.049      -Inf -8318.964
