-8491.604 -8494.088 -8490.495
-8135.112 -8137.595 -8134.002
-8161.117 -8163.600 -8160.010
-8140.832 -8143.023 -8140.012
-8136.647 -8139.113 -8135.586
-8148.010 -8150.493 -8146.900
-8134.610 -8137.094 -8133.501
-8140.906 -8142.841 -8140.184
-8137.533 -8139.990 -8136.490
-8136.546 -8138.620 -8135.776
-8136.208 -8138.567 -8135.283
-8135.557 -8138.039 -8134.451
-8134.754 -8137.084 -8133.852
-8138.005 -8140.470 -8136.944
-8139.083 -8141.183 -8138.303
-8139.260 -8141.722 -8138.206
-8139.024 -8141.450 -8138.027
-8136.028 -8138.065 -8135.271
-8137.414 -8139.834 -8136.425
-8137.463 -8139.677 -8136.630
