       NA        NA        NA
-8278.801 -8278.860 -8278.738
-8278.793 -8278.839 -8278.745
-8278.817 -8278.853 -8278.779
-8278.853 -8278.884 -8278.820
-8278.810 -8278.838 -8278.781
-8278.833 -8278.858 -8278.807
-8278.835 -8278.858 -8278.812
-8278.846 -8278.868 -8278.823
-8278.829 -8278.849 -8278.809
-8278.838 -8278.858 -8278.818
-8278.810 -8278.829 -8278.790
-8278.832 -8278.850 -8278.814
-8278.825 -8278.842 -8278.808
-8278.824 -8278.840 -8278.807
-8278.831 -8278.848 -8278.815
-8278.829 -8278.845 -8278.813
-8278.830 -8278.846 -8278.815
-8278.848 -8278.863 -8278.833
-8278.841 -8278.855 -8278.826
